feature,pearson_corr_with_hit,spearman_corr_with_hit,sample_size
Rank Score,0.07458677448663664,0.05959070014168369,2460
last5,0.06655786969667098,0.06765050937322573,2460
Confidence_num,0.06451785484525915,0.04421059107035798,2460
momentum,0.02159660066462962,0.05333402051170297,2460
last10,0.01740283528645592,0.010458986453645324,2460
Agreement_ratio_num,0.016634711585775456,0.017714504514897818,2460
z_line,0.004665115891656238,0.010369198994962178,2460
line_diff,0.003128098411940034,-0.029046454015503754,2460
z_matchup,-0.007477916373491894,-0.020576310582479274,2460
z_recent,-0.057701722144785264,-0.05378998094458452,2460
probability_std,-0.058691134075589325,-0.046787628872916064,2460
