Stat,hits,misses,no_games,total,graded,accuracy,coverage
BLK,17,7,3,27,24,0.7083333333333334,0.8888888888888888
SB,29,17,4,50,46,0.6304347826086957,0.92
STL,66,41,4,111,107,0.616822429906542,0.963963963963964
TOV,79,52,10,141,131,0.6030534351145038,0.9290780141843972
3PA,97,70,10,177,167,0.5808383233532934,0.943502824858757
3PM,130,95,16,241,225,0.5777777777777777,0.9336099585062241
REB,136,105,16,257,241,0.5643153526970954,0.9377431906614786
RA,102,96,14,212,198,0.5151515151515151,0.9339622641509434
FTM,72,68,7,147,140,0.5142857142857142,0.9523809523809523
PTS,116,125,16,257,241,0.48132780082987553,0.9377431906614786
AST,111,124,16,251,235,0.4723404255319149,0.9362549800796812
PRA,113,127,16,256,240,0.4708333333333333,0.9375
FGA,53,60,6,119,113,0.4690265486725664,0.9495798319327731
PR,83,98,12,193,181,0.4585635359116022,0.9378238341968912
PA,68,103,10,181,171,0.39766081871345027,0.9447513812154696
