stat,feature_mode,calibration_set,bt_tight_rows,0.50-0.55_n,0.50-0.55_acc,0.50-0.55_avg_conf,0.55-0.60_n,0.55-0.60_acc,0.55-0.60_avg_conf,0.60-0.65_n,0.60-0.65_acc,0.60-0.65_avg_conf,0.65-0.70_n,0.65-0.70_acc,0.65-0.70_avg_conf,0.70-0.80_n,0.70-0.80_acc,0.70-0.80_avg_conf,0.80-0.90_n,0.80-0.90_acc,0.80-0.90_avg_conf,0.90-1.00_n,0.90-1.00_acc,0.90-1.00_avg_conf,p99_conf,max_conf
PTS,full,ALL,12345,4012,0.522432701894317,0.5246912160491742,3532,0.5823895809739524,0.5743811242865102,2577,0.6313542879317036,0.6235561709964199,1460,0.6897260273972603,0.6724480308252351,751,0.715046604527297,0.7275041584855761,13,1.0,0.8294448736506758,0,,,0.7533230522443025,0.8588857172538706
PTS,full,TIGHT,12345,4126,0.5198739699466796,0.5246926280474259,3578,0.5885969815539408,0.5742132843340566,2548,0.630690737833595,0.6231783653429469,1426,0.6893408134642356,0.672175896159035,655,0.7206106870229008,0.7263339089260625,12,1.0,0.8253678891420734,0,,,0.7480312013497583,0.852603283988567
PTS,reduced,ALL,12345,4007,0.5283254304966309,0.5246998350780606,3473,0.5669450043190325,0.5742051525378303,2567,0.633813790416829,0.6233052111445159,1474,0.6824966078697422,0.6721761330568484,807,0.7174721189591078,0.7301813350689309,17,0.9411764705882352,0.8114871911334516,0,,,0.760019547311257,0.8373746357505809
PTS,reduced,TIGHT,12345,4102,0.5285226718673818,0.5245811440733876,3557,0.5701433792521788,0.574120500587329,2533,0.6360047374654559,0.6233424259878297,1402,0.681169757489301,0.6721424141745904,741,0.7260458839406208,0.7292129538344114,10,0.9,0.8128967513738019,0,,,0.7554341887532083,0.83145464957844
REB,full,ALL,7261,1883,0.5337227827934148,0.5250349869979849,1675,0.5737313432835821,0.5743975975621379,1453,0.6283551273227804,0.6239664710107944,1130,0.679646017699115,0.6745671863239112,1116,0.7267025089605734,0.7339652663703825,4,1.0,0.8054574905565836,0,,,0.7753202408541968,0.8090616795204061
REB,full,TIGHT,7261,2020,0.5277227722772277,0.5246649630042262,1774,0.580608793686584,0.5744739861470723,1473,0.6361167684996606,0.6233378791528915,1160,0.6991379310344827,0.6735859685410965,834,0.7254196642685852,0.7287889492103659,0,,,0,,,0.7599014753520948,0.7939394229713095
REB,reduced,ALL,7261,1906,0.5330535152151101,0.5251637117839877,1662,0.575812274368231,0.5747901551094594,1424,0.6299157303370787,0.6237844062308434,1141,0.6757230499561788,0.6745130147596661,1119,0.7265415549597856,0.7355311731584302,9,0.7777777777777778,0.808595431521081,0,,,0.7787052523870436,0.8234476433328637
REB,reduced,TIGHT,7261,2045,0.5310513447432763,0.5248899242124611,1773,0.5764241398759166,0.5748260433993142,1449,0.639751552795031,0.6240659695416989,1120,0.6964285714285714,0.6737030871527252,872,0.7293577981651376,0.7296330277267508,2,1.0,0.8048530734457395,0,,,0.7634320047777583,0.8085346588456791
AST,full,ALL,7096,1705,0.5032258064516129,0.5249855698395167,1596,0.5827067669172933,0.5747844699015352,1279,0.6231430805316653,0.6240198783138707,1154,0.6663778162911612,0.6739050110194142,1268,0.7082018927444795,0.7407150545987415,94,0.7872340425531915,0.8146730600954298,0,,,0.8041725412654757,0.8572166161597686
AST,full,TIGHT,7096,1858,0.4989235737351991,0.5250163405742853,1674,0.5943847072879331,0.5743034781967709,1335,0.6389513108614232,0.6240739178173028,1134,0.6710758377425045,0.6733594237776968,1062,0.7146892655367232,0.7368719045671098,33,0.8181818181818182,0.8089082738991147,0,,,0.7861766463882756,0.8384202366760078
