stat,feature_mode,calibration_set,status,train_rows,cal_rows,bt_rows,cal_tight_rows,bt_tight_rows,n_features,best_iteration,scale_pos_weight,hp_max_depth,hp_min_child_weight,hp_subsample,hp_colsample_bytree,hp_reg_alpha,hp_gamma,bt_full_logloss,bt_full_brier,bt_full_auc,bt_full_base_acc,bt_full_ece10,bt_full_p99_conf,bt_full_max_conf,bt_full_cov@0.55,bt_full_acc@0.55,bt_full_cov@0.60,bt_full_acc@0.60,bt_full_cov@0.65,bt_full_acc@0.65,bt_full_cov@0.70,bt_full_acc@0.70,bt_tight_logloss,bt_tight_brier,bt_tight_auc,bt_tight_base_acc,bt_tight_ece10,bt_tight_p99_conf,bt_tight_max_conf,bt_tight_cov@0.55,bt_tight_acc@0.55,bt_tight_cov@0.60,bt_tight_acc@0.60,bt_tight_cov@0.65,bt_tight_acc@0.65,bt_tight_cov@0.70,bt_tight_acc@0.70
PTS,full,ALL,OK,1329214,94547,43387,28198,12345,292,777,1.0239392398278788,4,3,0.7,0.6,0.1,0.1,0.6039122939038327,0.2081223208736336,0.7341281336117849,0.6759858943923295,0.0227168933382642,0.8518739122727725,0.8978508461323537,0.8702606771613617,0.6986334021929128,0.7402447737801645,0.7217050160351216,0.6089842579574527,0.7451366285671032,0.4684352455804734,0.7714524699862232,0.6662215159276994,0.2368393313443388,0.6229141601861208,0.5943296881328473,0.0159136568647042,0.7533230522443025,0.8588857172538706,0.6750101255569056,0.6289451578063122,0.3889023896314297,0.6631951676734014,0.1801539084649655,0.700089928057554,0.0618874038072094,0.7198952879581152
PTS,full,TIGHT,OK,1329214,94547,43387,28198,12345,292,777,1.0239392398278788,4,3,0.7,0.6,0.1,0.1,0.6036428062412393,0.2079726765341452,0.7341281336117849,0.6756401687141309,0.0207266839088582,0.8449939809203634,0.8917772374457721,0.865697098209141,0.699520766773163,0.7310484707400834,0.7233432120562456,0.5953165694793371,0.7484610321731388,0.4469311083965243,0.7758238358001135,0.6661015933031693,0.2367815608722417,0.6229141601861208,0.5933576346699069,0.0131176271978554,0.7480312013497583,0.852603283988567,0.6657756176589712,0.6302469886847548,0.3759416767922235,0.6623572505925447,0.1695423248278655,0.7009077878643096,0.0540299716484406,0.7256371814092953
PTS,reduced,ALL,OK,1329214,94547,43387,28198,12345,81,991,1.0239392398278788,4,3,0.7,0.6,0.1,0.1,0.6043832834283361,0.2083701733317761,0.7331790507592967,0.6753866365501187,0.0203600011852734,0.8549919605035226,0.8917283712688755,0.8704220158111877,0.6967297762478485,0.7415124346002259,0.7207820465000622,0.6100214349920483,0.7453810405410511,0.4685274390946597,0.7714974419519874,0.6676216319204697,0.2375182407828231,0.6184455693721871,0.5924665856622114,0.0142490703689573,0.760019547311257,0.8373746357505809,0.6754151478331308,0.6232909570640441,0.3940866747671122,0.6635149023638233,0.1861482381530984,0.696692776327241,0.0667476711219117,0.7220873786407767
PTS,reduced,TIGHT,OK,1329214,94547,43387,28198,12345,81,991,1.0239392398278788,4,3,0.7,0.6,0.1,0.1,0.604027481602977,0.2081801067891974,0.7331790507592967,0.6757554106068638,0.0171501180104995,0.8484774681274502,0.8856608194778572,0.8647060179316385,0.6978969533811339,0.7308871320902575,0.7227775850651194,0.5942793924447415,0.7487977040024821,0.4466314794754189,0.7763443079781195,0.6674014576940774,0.2374132878917994,0.6184455693721871,0.5920615633859863,0.0109893304896557,0.7554341887532083,0.83145464957844,0.6677197245848522,0.623680698774718,0.3795868772782503,0.6643192488262911,0.1744025921425678,0.69763121226196,0.0608343458890238,0.7283621837549934
REB,full,ALL,OK,534235,36420,16157,16599,7261,292,351,1.2018959299330243,4,3,0.7,0.6,0.1,0.1,0.6055377220507314,0.2087393031076131,0.7251659824250289,0.6758680448102989,0.0141465609380639,0.8553856776657232,0.8817744581148548,0.8710775515256545,0.697669461418218,0.7437024200037136,0.7206225033288948,0.6082193476511729,0.7437671720769309,0.4611623444946462,0.7686216615219433,0.6557113753121943,0.2317813287273044,0.624060609241089,0.614515906899876,0.0137895539674995,0.7753202408541968,0.8090616795204061,0.7406693292934857,0.6428040163629603,0.5099848505715466,0.6740480691331353,0.3098746729100675,0.7035555555555556,0.1542487260707891,0.7276785714285714
REB,full,TIGHT,OK,534235,36420,16157,16599,7261,292,351,1.2018959299330243,4,3,0.7,0.6,0.1,0.1,0.6060002512765125,0.2089246590282935,0.7251659824250289,0.6754966887417219,0.0181174194295359,0.8413596241076328,0.8688122253542572,0.8640217862226899,0.6990687679083094,0.7312619917063812,0.7224714346170122,0.5924986074147428,0.7463699989553954,0.4357244537971158,0.7714488636363637,0.6563948775505069,0.2321089258012452,0.624060609241089,0.6127255199008401,0.0231766463682871,0.7599014753520948,0.7939394229713095,0.7218014047651838,0.645487502385041,0.4774824404352017,0.678684741851745,0.2746178212367443,0.7101303911735206,0.1148602120919983,0.7254196642685852
REB,reduced,ALL,OK,534235,36420,16157,16599,7261,82,392,1.2018959299330243,4,3,0.7,0.6,0.1,0.1,0.6056869544486506,0.2087720133674339,0.7248261846632024,0.6761156155226836,0.0119823582743646,0.8582956528358205,0.8825682126568376,0.8679210249427493,0.6983527062682735,0.739741288605558,0.7208835341365462,0.6059293185616141,0.7432073544433095,0.4563347156031441,0.7697002576970026,0.6558962082068115,0.2318325219953308,0.6237400407047854,0.6143781848230271,0.0160232661373162,0.7787052523870436,0.8234476433328637,0.7375017215259606,0.6433239962651728,0.5086076298030574,0.6737070132683455,0.3124913923701969,0.7011899515204936,0.1553505026855805,0.7269503546099291
REB,reduced,TIGHT,OK,534235,36420,16157,16599,7261,82,392,1.2018959299330243,4,3,0.7,0.6,0.1,0.1,0.6060385549739111,0.2089130403408043,0.7248261846632024,0.6758061521322027,0.0159582528371915,0.8442178502332177,0.8694277844086151,0.8611747230302655,0.6992956734224522,0.7243300117596089,0.7240878407246005,0.5867425883517979,0.7470464135021097,0.4306492541932289,0.7737855705662546,0.6564259616744774,0.2320949801147224,0.6237400407047854,0.6132764082082358,0.0227605263725572,0.7634320047777583,0.8085346588456791,0.7183583528439609,0.6455138036809815,0.4741771105908277,0.6810920708684287,0.2746178212367443,0.7111334002006018,0.1203690951659551,0.7299771167048055
AST,full,ALL,OK,402547,29111,13225,16183,7096,292,653,1.238112976759702,4,3,0.7,0.6,0.1,0.1,0.6086936364443354,0.2103273917234115,0.71918672134718,0.6687334593572779,0.0246342589022303,0.8513138547565843,0.8870401833306136,0.8625330812854443,0.6955378276496887,0.724007561436673,0.7165535248041776,0.5880529300567108,0.7411598302687411,0.4353119092627599,0.7703665103352441,0.657457460420198,0.2325820611994792,0.623151404289159,0.6096392333709132,0.0336526339960044,0.8041725412654757,0.8572166161597686,0.7597237880496054,0.6432943795214245,0.5348083427282976,0.6687747035573123,0.3545659526493799,0.6919713831478538,0.1919391206313416,0.7136563876651982
AST,full,TIGHT,OK,402547,29111,13225,16183,7096,292,653,1.238112976759702,4,3,0.7,0.6,0.1,0.1,0.6087495507465185,0.2102416027121379,0.71918672134718,0.6685822306238185,0.0238310288012599,0.8325081545451374,0.8687630098836733,0.8492249527410208,0.6986911227851482,0.6992060491493384,0.7219638801773548,0.5456332703213611,0.7483370288248337,0.3823818525519848,0.7816887482697251,0.6565498189924948,0.2321789213105249,0.623151404289159,0.609075535512965,0.0298189978653388,0.7861766463882756,0.8384202366760078,0.7381623449830891,0.6481481481481481,0.5022547914317925,0.6734006734006734,0.3141206313416009,0.6940331987438313,0.1543122886133032,0.7178082191780822
