Rank,Player,Stat,Line,Pick,Confidence,Tier,Recommendation,Rank Score,Result,Actual value,FULL_ALL Pick,FULL_ALL Confidence,FULL_ALL Rank score,FULL_ALL Result,FULL_TIGHT Pick,FULL_TIGHT Confidence,FULL_TIGHT Rank score,FULL_TIGHT Result,REDUCED_ALL Pick,REDUCED_ALL Confidence,REDUCED_ALL Rank score,REDUCED_ALL Result,REDUCED_TIGHT Pick,REDUCED_TIGHT Confidence,REDUCED_TIGHT Rank score,REDUCED_TIGHT Result,z_line,z_recent,z_matchup,line_diff,momentum,last10,last5,probability_std,Agreement ratio
1,Alperen Sengun,TOV,3.5,UNDER,75.90%,A,STRONG BET,77.69,✅ HIT,2.0,UNDER,76.10%,77.95,✅ HIT,UNDER,75.60%,77.44,✅ HIT,UNDER,76.20%,77.98,✅ HIT,UNDER,75.60%,77.38,✅ HIT,-0.09,1.17,-0.13,1.9,-2.05,1.0,0.4,0.0028,100.00%
2,Trey Murphy III,3PA,9.5,UNDER,78.00%,B,STRONG BET,75.14,✅ HIT,8.0,UNDER,77.40%,74.61,✅ HIT,UNDER,76.10%,73.25,✅ HIT,UNDER,79.70%,76.91,✅ HIT,UNDER,78.60%,75.8,✅ HIT,-0.66,-0.88,-1.5,-1.3,0.33,1.2,1.6,0.0136,100.00%
3,RJ Barrett,TOV,2.5,UNDER,77.80%,A,STRONG BET,74.98,✅ HIT,2.0,UNDER,80.20%,77.37,✅ HIT,UNDER,79.60%,76.79,✅ HIT,UNDER,76.00%,73.19,✅ HIT,UNDER,75.40%,72.58,✅ HIT,-1.74,-2.25,0.0,-1.1,0.25,2.0,2.0,0.0212,100.00%
4,LaMelo Ball,STL,1.5,UNDER,73.40%,A,STRONG BET,72.9,✅ HIT,1.0,UNDER,72.70%,72.15,✅ HIT,UNDER,72.60%,72.08,✅ HIT,UNDER,74.30%,73.75,✅ HIT,UNDER,74.10%,73.61,✅ HIT,-0.2,-0.05,-1.5,-0.1,-0.27,1.6,1.6,0.0078,100.00%
5,Immanuel Quickley,STL,1.5,UNDER,70.80%,A,STRONG BET,71.6,❌ MISS,2.0,UNDER,69.40%,70.15,❌ MISS,UNDER,69.40%,70.13,❌ MISS,UNDER,72.30%,73.11,❌ MISS,UNDER,72.20%,73.0,❌ MISS,-0.27,-0.1,0.0,-0.1,-0.17,1.4,1.2,0.0146,100.00%
6,Brandon Miller,FTM,3.5,UNDER,70.40%,B,STRONG BET,71.34,❌ MISS,4.0,UNDER,69.50%,70.42,❌ MISS,UNDER,68.70%,69.56,❌ MISS,UNDER,72.40%,73.3,❌ MISS,UNDER,71.20%,72.07,❌ MISS,-0.09,-0.22,0.0,-0.5,0.31,1.4,1.2,0.0145,100.00%
7,Brandon Miller,STL,1.5,UNDER,70.30%,A,STRONG BET,71.05,❌ MISS,2.0,UNDER,69.80%,70.53,❌ MISS,UNDER,69.80%,70.51,❌ MISS,UNDER,70.90%,71.62,❌ MISS,UNDER,70.80%,71.54,❌ MISS,-0.34,0.26,0.0,0.3,-0.7,1.2,0.8,0.0053,100.00%
8,Brandon Miller,3PM,3.5,UNDER,73.50%,S,STRONG BET,71.02,✅ HIT,2.0,UNDER,71.70%,69.26,✅ HIT,UNDER,71.70%,69.27,✅ HIT,UNDER,75.30%,72.84,✅ HIT,UNDER,75.10%,72.68,✅ HIT,-0.81,-2.25,0.0,-1.1,0.7,1.0,2.0,0.0175,100.00%
9,Julius Randle,3PM,1.5,UNDER,72.60%,S,STRONG BET,70.29,✅ HIT,1.0,UNDER,72.90%,70.6,✅ HIT,UNDER,72.90%,70.6,✅ HIT,UNDER,72.30%,70.04,✅ HIT,UNDER,72.20%,69.93,✅ HIT,-0.17,-1.84,-2.0,-0.9,0.82,1.8,2.0,0.0031,100.00%
10,Anthony Edwards,3PA,9.5,UNDER,70.10%,B,STRONG BET,69.51,❌ MISS,10.0,UNDER,70.10%,69.51,❌ MISS,UNDER,69.10%,68.56,❌ MISS,UNDER,70.90%,70.34,❌ MISS,UNDER,70.20%,69.61,❌ MISS,-0.5,0.17,-0.58,0.3,-1.16,1.2,1.2,0.0063,100.00%
