Player,hits,misses,no_games,total,graded,accuracy,coverage
Ausar Thompson,7,0,0,7,7,1.0,1.0
Kristaps Porziņģis,12,2,0,14,14,0.8571428571428571,1.0
Deandre Ayton,5,1,0,6,6,0.8333333333333334,1.0
Khris Middleton,4,1,0,5,5,0.8,1.0
Onyeka Okongwu,18,5,0,23,23,0.782608695652174,1.0
Derrick White,18,6,12,36,24,0.75,0.6666666666666666
Miles Bridges,12,4,0,16,16,0.75,1.0
Scoot Henderson,5,2,0,7,7,0.7142857142857143,1.0
Mikal Bridges,21,9,0,30,30,0.7,1.0
De'Aaron Fox,25,11,0,36,36,0.6944444444444444,1.0
Trey Murphy III,15,7,0,22,22,0.6818181818181818,1.0
Desmond Bane,25,12,0,37,37,0.6756756756756757,1.0
Josh Hart,8,4,7,19,12,0.6666666666666666,0.631578947368421
Tyler Herro,8,4,24,36,12,0.6666666666666666,0.3333333333333333
Klay Thompson,4,2,0,6,6,0.6666666666666666,1.0
Tobias Harris,4,2,6,12,6,0.6666666666666666,0.5
Kawhi Leonard,35,18,0,53,53,0.660377358490566,1.0
Julius Randle,27,14,0,41,41,0.6585365853658537,1.0
Quentin Grimes,23,12,0,35,35,0.6571428571428571,1.0
Darius Garland,19,10,0,29,29,0.6551724137931034,1.0
Jerami Grant,13,7,0,20,20,0.65,1.0
Jalen Johnson,24,13,0,37,37,0.6486486486486487,1.0
Anthony Edwards,35,19,0,54,54,0.6481481481481481,1.0
Jalen Duren,16,9,0,25,25,0.64,1.0
Russell Westbrook,21,12,12,45,33,0.6363636363636364,0.7333333333333333
Ace Bailey,10,6,0,16,16,0.625,1.0
Jaime Jaquez Jr.,10,6,0,16,16,0.625,1.0
Draymond Green,5,3,8,16,8,0.625,0.5
Myles Turner,13,8,0,21,21,0.6190476190476191,1.0
Rudy Gobert,19,12,0,31,31,0.6129032258064516,1.0
VJ Edgecombe,23,15,0,38,38,0.6052631578947368,1.0
Donte DiVincenzo,14,10,0,24,24,0.5833333333333334,1.0
Dejounte Murray,7,5,0,12,12,0.5833333333333334,1.0
LaMelo Ball,22,16,0,38,38,0.5789473684210527,1.0
Brandon Ingram,24,18,0,42,42,0.5714285714285714,1.0
Austin Reaves,20,15,0,35,35,0.5714285714285714,1.0
Paolo Banchero,20,15,0,35,35,0.5714285714285714,1.0
Chet Holmgren,12,9,0,21,21,0.5714285714285714,1.0
Scottie Barnes,22,18,0,40,40,0.55,1.0
Jaden McDaniels,6,5,0,11,11,0.5454545454545454,1.0
Jayson Tatum,13,11,12,36,24,0.5416666666666666,0.6666666666666666
Reed Sheppard,13,11,0,24,24,0.5416666666666666,1.0
Michael Porter Jr.,7,6,0,13,13,0.5384615384615384,1.0
Naz Reid,15,13,0,28,28,0.5357142857142857,1.0
Ivica Zubac,8,7,0,15,15,0.5333333333333333,1.0
Stephon Castle,17,15,0,32,32,0.53125,1.0
Brandin Podziemski,18,16,0,34,34,0.5294117647058824,1.0
Jamal Murray,19,17,0,36,36,0.5277777777777778,1.0
Alex Sarr,10,9,0,19,19,0.5263157894736842,1.0
Kyle Kuzma,10,9,0,19,19,0.5263157894736842,1.0
Giannis Antetokounmpo,18,17,0,35,35,0.5142857142857142,1.0
Jalen Suggs,18,17,0,35,35,0.5142857142857142,1.0
Donovan Mitchell,20,19,0,39,39,0.5128205128205128,1.0
Zion Williamson,8,8,0,16,16,0.5,1.0
Trae Young,7,7,0,14,14,0.5,1.0
Andrew Nembhard,5,5,10,20,10,0.5,0.5
Dyson Daniels,4,4,8,16,8,0.5,0.5
Bennedict Mathurin,16,17,0,33,33,0.48484848484848486,1.0
Karl-Anthony Towns,15,16,0,31,31,0.4838709677419355,1.0
Bam Adebayo,17,19,0,36,36,0.4722222222222222,1.0
Jalen Green,17,19,0,36,36,0.4722222222222222,1.0
Brandon Miller,18,21,0,39,39,0.46153846153846156,1.0
Jaylen Wells,6,7,6,19,13,0.46153846153846156,0.6842105263157895
LeBron James,11,13,10,34,24,0.4583333333333333,0.7058823529411765
Deni Avdija,16,19,0,35,35,0.45714285714285713,1.0
Immanuel Quickley,20,24,0,44,44,0.45454545454545453,1.0
Jrue Holiday,15,18,0,33,33,0.45454545454545453,1.0
