source_file,Rank,rerank_position,Player,Stat,Pick,Confidence,Recommendation,Tier,Result,Rank Score,historical_rerank_score,hybrid_rerank_score,stat_component,tier_component,rec_component,player_component,agreement_component,stability_component
AI Picks by Srini underdog - March 10 2026.csv,1,1,Victor Wembanyama,BLK,UNDER,87.60%,STRONG BET,S,✅ HIT,87.07,0.7211410014781966,0.8187416509531826,0.644579945799458,0.5869918699186992,0.5899154143056583,0.3382113821138211,1.0,0.9867
AI Picks by Srini underdog - March 10 2026.csv,2,2,Rudy Gobert,STL,UNDER,82.80%,STRONG BET,A,✅ HIT,79.98,0.7250396130367945,0.7670708555010944,0.6067636810821889,0.6088002636783125,0.5899154143056583,0.586159954622802,1.0,0.9941
AI Picks by Srini underdog - March 13 2026.csv,2,3,Julius Randle,STL,UNDER,78.6%,STRONG BET,A,✅ HIT,78.01,0.7145093308741002,0.7451650100161614,0.6067636810821889,0.6088002636783125,0.5899154143056583,0.6265071329958583,1.0,0.9884
AI Picks by Srini underdog - March 13 2026.csv,1,4,Kevin Durant,STL,UNDER,78.9%,STRONG BET,A,✅ HIT,79.07,0.6943430625720255,0.740160911154804,0.6067636810821889,0.6088002636783125,0.5899154143056583,0.41234444997511194,1.0,0.993
AI Picks by Srini underdog - March 10 2026.csv,4,5,Quentin Grimes,TOV,UNDER,78.60%,STRONG BET,A,✅ HIT,77.52,0.7116415813664232,0.7395547954662225,0.59583830803343,0.6088002636783125,0.5899154143056583,0.6213803840166061,1.0,0.985
AI Picks by Srini underdog - March 10 2026.csv,3,6,Bam Adebayo,STL,UNDER,77.00%,STRONG BET,A,❌ MISS,78.87,0.6934121135094737,0.7380267422764113,0.6067636810821889,0.6088002636783125,0.5899154143056583,0.48343495934959346,1.0,0.9614
AI Picks by Srini underdog - March 10 2026.csv,5,7,Onyeka Okongwu,STL,UNDER,76.50%,STRONG BET,A,✅ HIT,77.11,0.7137454119996014,0.7377877288029333,0.6067636810821889,0.6088002636783125,0.5899154143056583,0.691567944250871,1.0,0.9858
AI Picks by Srini underdog - March 15 2026.csv,1,8,Giannis Antetokounmpo,STL,UNDER,77.2%,STRONG BET,A,✅ HIT,77.83,0.6987383581038344,0.7335377309265279,0.6067636810821889,0.6088002636783125,0.5899154143056583,0.5149974052932018,1.0,0.9912
AI Picks by Srini underdog - March 12 2026.csv,1,9,Victor Wembanyama,STL,UNDER,81.0%,STRONG BET,A,NO GAME,78.26,0.6921447557858964,0.7325393511934967,0.6067636810821889,0.6088002636783125,0.5899154143056583,0.3382113821138211,1.0,0.9545
AI Picks by Srini underdog - March 12 2026.csv,3,10,Jaime Jaquez Jr.,TOV,UNDER,78.8%,STRONG BET,A,✅ HIT,76.16,0.7081531074246927,0.7268897338875053,0.59583830803343,0.6088002636783125,0.5899154143056583,0.5787456445993031,1.0,0.9869
AI Picks by Srini underdog - March 11 2026.csv,1,11,Alperen Sengun,TOV,UNDER,75.90%,STRONG BET,A,✅ HIT,77.69,0.6870089309913701,0.7248432669120121,0.59583830803343,0.6088002636783125,0.5899154143056583,0.4607538802660754,1.0,0.9972
AI Picks by Srini underdog - March 14 2026.csv,5,12,Onyeka Okongwu,BLK,UNDER,75.0%,STRONG BET,S,✅ HIT,75.3,0.7140766576919017,0.7241651180139341,0.644579945799458,0.5869918699186992,0.5899154143056583,0.691567944250871,1.0,0.9955
AI Picks by Srini underdog - March 10 2026.csv,6,13,Quentin Grimes,FTM,UNDER,78.90%,STRONG BET,B,❌ MISS,77.11,0.6899958030275639,0.7223504829711089,0.5145057766367137,0.5557229965156795,0.5899154143056583,0.6213803840166061,1.0,0.9844
AI Picks by Srini underdog - March 12 2026.csv,2,14,Giannis Antetokounmpo,STL,UNDER,77.6%,STRONG BET,A,✅ HIT,76.21,0.6995583581038345,0.7216854098258809,0.6067636810821889,0.6088002636783125,0.5899154143056583,0.5149974052932018,1.0,0.9804
AI Picks by Srini underdog - March 14 2026.csv,1,15,Victor Wembanyama,STL,UNDER,78.2%,STRONG BET,A,❌ MISS,77.51,0.6839847557858965,0.7215014062394935,0.6067636810821889,0.6088002636783125,0.5899154143056583,0.3382113821138211,1.0,0.9817
AI Picks by Srini underdog - March 14 2026.csv,4,16,Onyeka Okongwu,STL,UNDER,73.9%,STRONG BET,A,✅ HIT,75.36,0.7045704119996014,0.7184447739102592,0.6067636810821889,0.6088002636783125,0.5899154143056583,0.691567944250871,1.0,0.9791
AI Picks by Srini underdog - March 10 2026.csv,7,17,Victor Wembanyama,STL,UNDER,79.40%,STRONG BET,A,✅ HIT,76.6,0.6886147557858965,0.7175537196953029,0.6067636810821889,0.6088002636783125,0.5899154143056583,0.3382113821138211,1.0,0.9927
AI Picks by Srini underdog - March 14 2026.csv,3,18,Bam Adebayo,STL,UNDER,76.9%,STRONG BET,A,❌ MISS,76.01,0.6941221135094737,0.7166227988518123,0.6067636810821889,0.6088002636783125,0.5899154143056583,0.48343495934959346,1.0,0.9824
AI Picks by Srini underdog - March 14 2026.csv,2,19,Victor Wembanyama,BLK,UNDER,76.8%,STRONG BET,S,❌ MISS,76.68,0.6830910014781967,0.7145749001903918,0.644579945799458,0.5869918699186992,0.5899154143056583,0.3382113821138211,1.0,0.9601
AI Picks by Srini underdog - March 10 2026.csv,8,20,De'Aaron Fox,STL,UNDER,75.70%,STRONG BET,A,✅ HIT,74.54,0.7075387801761405,0.7141051000752995,0.6067636810821889,0.6088002636783125,0.5899154143056583,0.6501016260162601,1.0,0.999
