Rank,Player,Stat,Line,Pick,Confidence,Tier,Recommendation,Rank Score,Result,Actual value,FULL_ALL Pick,FULL_ALL Confidence,FULL_ALL Rank score,FULL_ALL Result,FULL_TIGHT Pick,FULL_TIGHT Confidence,FULL_TIGHT Rank score,FULL_TIGHT Result,REDUCED_ALL Pick,REDUCED_ALL Confidence,REDUCED_ALL Rank score,REDUCED_ALL Result,REDUCED_TIGHT Pick,REDUCED_TIGHT Confidence,REDUCED_TIGHT Rank score,REDUCED_TIGHT Result,z_line,z_recent,z_matchup,line_diff,momentum,last10,last5,probability_std,Agreement ratio
1,Victor Wembanyama,STL,1.5,UNDER,78.2%,A,STRONG BET,77.51,❌ MISS,2.0,UNDER,80.1%,79.43,❌ MISS,UNDER,79.9%,79.24,❌ MISS,UNDER,76.4%,75.76,❌ MISS,UNDER,76.3%,75.59,❌ MISS,-0.49,-0.1,-1.0,-0.1,-0.4,1.4,1.2,0.0183,100.0%
2,Victor Wembanyama,BLK,3.5,UNDER,76.8%,S,STRONG BET,76.68,❌ MISS,4.0,UNDER,80.9%,80.71,❌ MISS,UNDER,80.8%,80.62,❌ MISS,UNDER,72.8%,72.61,❌ MISS,UNDER,72.9%,72.76,❌ MISS,-0.38,0.53,-0.2,0.7,-1.2,0.4,0.4,0.0399,100.0%
3,Bam Adebayo,STL,1.5,UNDER,76.9%,A,STRONG BET,76.01,❌ MISS,4.0,UNDER,78.7%,77.85,❌ MISS,UNDER,78.5%,77.68,❌ MISS,UNDER,75.2%,74.34,❌ MISS,UNDER,75.0%,74.18,❌ MISS,-1.0,-0.75,-0.3,-0.3,-0.1,1.6,1.6,0.0176,100.0%
4,Onyeka Okongwu,STL,1.5,UNDER,73.9%,A,STRONG BET,75.36,✅ HIT,1.0,UNDER,76.1%,77.51,✅ HIT,UNDER,75.9%,77.38,✅ HIT,UNDER,71.9%,73.32,✅ HIT,UNDER,71.8%,73.22,✅ HIT,-0.53,0.79,0.3,0.5,-0.83,1.2,0.4,0.0209,100.0%
5,Onyeka Okongwu,BLK,1.5,UNDER,75.0%,S,STRONG BET,75.3,✅ HIT,0.0,UNDER,74.5%,74.82,✅ HIT,UNDER,74.6%,74.89,✅ HIT,UNDER,75.4%,75.71,✅ HIT,UNDER,75.5%,75.79,✅ HIT,-0.24,0.44,-0.3,0.7,-1.08,0.8,0.8,0.0045,100.0%
6,Dyson Daniels,3PM,0.5,UNDER,73.4%,S,STRONG BET,73.85,✅ HIT,0.0,UNDER,72.0%,72.47,✅ HIT,UNDER,72.0%,72.47,✅ HIT,UNDER,74.9%,75.31,✅ HIT,UNDER,74.7%,75.16,✅ HIT,-0.63,-0.2,-0.0,-0.1,-0.21,1.6,1.2,0.0139,100.0%
7,Kevin Porter Jr.,3PM,1.5,UNDER,74.8%,S,STRONG BET,73.16,✅ HIT,0.0,UNDER,78.2%,76.59,✅ HIT,UNDER,78.1%,76.54,✅ HIT,UNDER,71.4%,69.81,✅ HIT,UNDER,71.3%,69.71,✅ HIT,-0.51,-2.25,-0.41,-1.1,0.85,1.8,2.0,0.034,100.0%
8,Onyeka Okongwu,FTM,2.5,UNDER,72.5%,B,STRONG BET,72.66,✅ HIT,0.0,UNDER,72.9%,73.04,✅ HIT,UNDER,71.7%,71.86,✅ HIT,UNDER,73.4%,73.53,✅ HIT,UNDER,72.1%,72.21,✅ HIT,-0.22,-0.59,-0.25,-1.1,0.7,1.6,1.6,0.0066,100.0%
9,Jayson Tatum,STL,1.5,UNDER,73.6%,A,STRONG BET,72.18,❌ MISS,2.0,UNDER,76.6%,75.21,❌ MISS,UNDER,76.4%,75.07,❌ MISS,UNDER,70.7%,69.26,❌ MISS,UNDER,70.6%,69.19,❌ MISS,-0.61,-0.61,-0.46,-0.5,-0.0,0.8,0.8,0.0296,100.0%
10,Derrick White,STL,1.5,UNDER,72.0%,A,STRONG BET,72.14,✅ HIT,1.0,UNDER,72.9%,73.05,✅ HIT,UNDER,72.8%,72.97,✅ HIT,UNDER,71.2%,71.32,✅ HIT,UNDER,71.1%,71.23,✅ HIT,-0.46,-0.94,0.3,-0.7,0.36,1.6,1.6,0.0087,100.0%
