Rank,Player,Stat,Line,Pick,Confidence,Tier,Recommendation,Rank Score,Result,Actual value,FULL_ALL Pick,FULL_ALL Confidence,FULL_ALL Rank score,FULL_ALL Result,FULL_TIGHT Pick,FULL_TIGHT Confidence,FULL_TIGHT Rank score,FULL_TIGHT Result,REDUCED_ALL Pick,REDUCED_ALL Confidence,REDUCED_ALL Rank score,REDUCED_ALL Result,REDUCED_TIGHT Pick,REDUCED_TIGHT Confidence,REDUCED_TIGHT Rank score,REDUCED_TIGHT Result,z_line,z_recent,z_matchup,line_diff,momentum,last10,last5,probability_std,Agreement ratio
1,Deni Avdija,STL,1.5,UNDER,80.5%,A,STRONG BET,79.55,,,UNDER,80.4%,79.49,,UNDER,80.2%,79.3,,UNDER,80.8%,79.82,,UNDER,80.5%,79.59,,-0.93,-0.94,-0.0,-0.7,0.01,1.6,1.6,0.0019,100.0%
2,Darius Garland,TOV,3.5,UNDER,81.5%,A,STRONG BET,79.45,,,UNDER,82.9%,80.81,,UNDER,82.3%,80.2,,UNDER,80.8%,78.74,,UNDER,80.1%,78.05,,-0.96,-1.74,-0.27,-1.3,0.58,1.6,2.0,0.011,100.0%
3,Kevin Durant,STL,1.5,UNDER,81.8%,A,STRONG BET,77.66,,,UNDER,81.9%,77.81,,UNDER,81.7%,77.6,,UNDER,81.8%,77.73,,UNDER,81.6%,77.49,,-0.82,-1.12,-2.89,-0.9,0.24,1.4,1.6,0.0012,100.0%
4,P.J. Washington,SB,2.5,UNDER,70.6%,A,STRONG BET,77.44,,,UNDER,68.7%,75.59,,UNDER,68.5%,75.34,,UNDER,72.8%,79.65,,UNDER,72.3%,79.18,,-0.16,-0.25,6.0,-0.5,0.18,1.6,1.6,0.0198,100.0%
5,Dyson Daniels,3PM,0.5,UNDER,78.2%,S,STRONG BET,77.43,,,UNDER,77.8%,77.04,,UNDER,77.8%,76.98,,UNDER,78.8%,77.95,,UNDER,78.5%,77.74,,-0.77,-0.75,-0.58,-0.3,-0.01,1.6,1.6,0.0042,100.0%
6,P.J. Washington,BLK,1.5,UNDER,77.5%,S,STRONG BET,77.33,,,UNDER,76.3%,76.11,,UNDER,76.3%,76.13,,UNDER,78.7%,78.55,,UNDER,78.7%,78.54,,-0.69,-1.84,0.71,-0.9,0.56,2.0,2.0,0.0121,100.0%
7,Kevin Durant,AST,5.5,UNDER,78.8%,C,STRONG BET,76.99,,,UNDER,80.2%,78.38,,UNDER,78.4%,76.58,,UNDER,79.2%,77.33,,UNDER,77.5%,75.67,,-0.88,-1.11,-0.61,-1.3,0.28,1.8,2.0,0.0099,100.0%
8,Desmond Bane,3PM,2.5,UNDER,77.6%,S,STRONG BET,76.36,,,UNDER,77.8%,76.55,,UNDER,77.8%,76.5,,UNDER,77.6%,76.3,,UNDER,77.4%,76.1,,-0.65,-1.74,-0.0,-1.3,0.82,1.6,2.0,0.0018,100.0%
9,Victor Wembanyama,BLK,3.5,UNDER,76.1%,S,STRONG BET,76.34,,,UNDER,74.5%,74.74,,UNDER,74.6%,74.81,,UNDER,77.7%,77.9,,UNDER,77.7%,77.92,,-0.49,0.31,0.5,0.3,-0.78,0.4,0.4,0.0157,100.0%
10,Deni Avdija,FTM,6.5,UNDER,74.2%,B,STRONG BET,76.04,,,UNDER,71.5%,73.4,,UNDER,70.5%,72.34,,UNDER,78.2%,80.08,,UNDER,76.5%,78.36,,0.24,-0.7,-0.0,-2.1,2.81,1.6,1.6,0.0325,100.0%
