Rank,Player,Stat,Line,Pick,Platform,Goblin/Demon,Multiplier,Confidence,Rank Score,Result,Actual Value,Avg Edge Side,Avg Same Line Market Prob Side,Avg All Books Market Prob Side,Same Line Books,All Books,Edge,Model Alpha,Agreement,Signals,Market Consensus Line,Market Consensus Prob,Best Over Odds,Best Over Book,Best Under Odds,Best Under Book,DFS vs Market,FanDuel line,FanDuel line_delta,FanDuel over_no_vig_prob,FanDuel under_no_vig_prob,FanDuel edge,DraftKings line,DraftKings line_delta,DraftKings over_no_vig_prob,DraftKings under_no_vig_prob,DraftKings edge,BetRivers line,BetRivers line_delta,BetRivers over_no_vig_prob,BetRivers under_no_vig_prob,BetRivers edge,BetOnline line,BetOnline line_delta,BetOnline over_no_vig_prob,BetOnline under_no_vig_prob,BetOnline edge,Bovada line,Bovada line_delta,Bovada over_no_vig_prob,Bovada under_no_vig_prob,Bovada edge,BetMGM line,BetMGM line_delta,BetMGM over_no_vig_prob,BetMGM under_no_vig_prob,BetMGM edge,z_line,z_recent,z_matchup,line_diff,momentum,last10,last5,probability_std,Agreement ratio
1,Dyson Daniels,PA,30.5,UNDER,Underdog,,,78.5%,95.44,,,0.4133,,0.9533,0,4,0.4133,-0.1685,1.0,-14.6814,18.5,50.8%,-105,BetMGM,-102,DraftKings,FAVORABLE,18.5,-12.0,4.7%,95.3%,0.2449,17.5,-13.0,4.5%,95.5%,0.2449,,,,,,,,,,,18.5,-12.0,4.7%,95.3%,0.2449,18.5,-12.0,4.7%,95.3%,0.2449,-1.28,-1.34,-2.58,-13.5,0.63,1.8,1.6,0.0041,100.0%
2,LaMelo Ball,PTS,14.5,OVER,PrizePicks,Goblin,,80.9%,81.39,,,0.2676,,0.8076,0,6,0.2676,0.001,1.0,-5.5828,20.0,48.5%,185,Bovada,120,BetRivers,FAVORABLE,20.5,6.0,80.7%,19.3%,0.2687,19.5,5.0,79.8%,20.2%,0.2687,18.5,4.0,79.5%,20.5%,0.2687,20.5,6.0,81.7%,18.3%,0.2687,23.5,9.0,83.2%,16.8%,0.2687,19.5,5.0,79.7%,20.3%,0.2687,-1.19,-2.2,-0.78,-9.7,4.49,1.8,2.0,0.0074,100.0%
3,Tyrese Maxey,3PM,1.5,OVER,PrizePicks,Goblin,,74.9%,71.38,,,0.244,,0.784,0,6,0.244,-0.0352,1.0,-1.7402,2.5,51.9%,160,Bovada,114,DraftKings,FAVORABLE,2.5,1.0,77.4%,22.6%,0.2088,2.5,1.0,78.5%,21.4%,0.2088,2.5,1.0,78.3%,21.7%,0.2088,2.5,1.0,77.6%,22.4%,0.2088,3.5,2.0,82.0%,18.0%,0.2088,2.5,1.0,76.5%,23.5%,0.2088,-1.55,-1.46,-0.92,-1.7,-0.11,2.0,2.0,0.0077,100.0%
4,Mikal Bridges,3PM,0.5,OVER,PrizePicks,Goblin,,78.0%,69.13,,,0.1987,,0.7387,0,1,0.1987,0.0408,1.0,-1.4262,1.5,46.3%,102,FanDuel,-135,FanDuel,FAVORABLE,1.5,1.0,73.9%,26.1%,0.2395,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5,-1.74,-0.51,-1.7,0.23,1.8,2.0,0.0039,100.0%
5,Joel Embiid,3PM,0.5,OVER,PrizePicks,Goblin,,74.2%,66.6,,,0.2164,,0.7564,0,6,0.2164,-0.0149,1.0,-0.9874,1.5,40.6%,134,BetOnline.ag,-169,Bovada,FAVORABLE,1.5,1.0,75.3%,24.7%,0.2015,1.5,1.0,75.8%,24.2%,0.2015,1.5,1.0,76.0%,24.0%,0.2015,1.5,1.0,75.3%,24.7%,0.2015,1.5,1.0,75.8%,24.1%,0.2015,1.5,1.0,75.6%,24.4%,0.2015,-0.71,-1.46,-2.0,-1.7,0.88,2.0,2.0,0.0074,100.0%
6,Stephon Castle,3PM,0.5,OVER,PrizePicks,Goblin,,71.2%,63.35,,,0.217,,0.757,0,6,0.217,-0.0446,1.0,0.3216,1.5,37.5%,165,BetMGM,-189,FanDuel,FAVORABLE,1.5,1.0,76.4%,23.6%,0.1724,1.5,1.0,76.4%,23.6%,0.1724,1.5,1.0,75.4%,24.6%,0.1724,1.5,1.0,75.5%,24.4%,0.1724,1.5,1.0,76.5%,23.5%,0.1724,1.5,1.0,73.9%,26.1%,0.1724,-0.97,-0.79,-0.5,-0.5,-0.11,1.6,1.6,0.004,100.0%
7,Karl-Anthony Towns,3PM,0.5,OVER,PrizePicks,Goblin,,69.8%,62.63,,,0.2302,,0.7702,0,1,0.2302,-0.0718,1.0,-0.9675,1.5,43.7%,114,FanDuel,-152,FanDuel,FAVORABLE,1.5,1.0,77.0%,23.0%,0.1584,,,,,,,,,,,,,,,,,,,,,,,,,,-2.14,-1.84,0.27,-0.9,-0.15,1.8,2.0,0.0077,100.0%
8,Naz Reid,3PM,2.5,UNDER,Underdog,,0.76x,81.4%,62.39,,,0.1408,0.6595,0.6809,1,6,0.1195,0.1542,1.0,-0.0067,1.5,45.1%,175,Bovada,132,DraftKings,FAVORABLE,1.5,-1.0,30.8%,69.2%,0.2737,1.5,-1.0,32.0%,68.0%,0.2737,1.5,-1.0,31.4%,68.7%,0.2737,1.5,-1.0,31.5%,68.5%,0.2737,2.5,0.0,34.1%,66.0%,0.2737,1.5,-1.0,31.8%,68.2%,0.2737,-0.54,-2.37,-0.75,-1.5,1.16,2.0,2.0,0.0179,100.0%
9,De'Aaron Fox,STL,1.5,UNDER,Underdog,,0.76x,79.7%,57.88,,,0.1104,0.6504,0.6504,3,3,0.1104,0.1462,1.0,-2.0333,1.5,65.0%,170,DraftKings,-222,FanDuel,NEUTRAL,1.5,0.0,35.6%,64.4%,0.2566,1.5,0.0,34.6%,65.4%,0.2566,,,,,,,,,,,1.5,0.0,34.6%,65.4%,0.2566,,,,,,-0.77,-1.75,-3.0,-0.7,0.39,1.8,2.0,0.008,100.0%
10,De'Aaron Fox,REB,2.5,OVER,PrizePicks,Goblin,,75.5%,57.4,,,0.1388,,0.6789,0,6,0.1389,0.0766,1.0,-0.2532,3.5,46.4%,110,Bovada,-115,BetMGM,FAVORABLE,3.5,1.0,67.4%,32.6%,0.2154,3.5,1.0,66.9%,33.1%,0.2154,3.5,1.0,67.6%,32.4%,0.2154,3.5,1.0,68.1%,31.9%,0.2154,3.5,1.0,66.3%,33.7%,0.2154,3.5,1.0,71.1%,28.9%,0.2154,-0.8,-1.06,-0.71,-1.7,0.42,1.6,2.0,0.0023,100.0%
