Rank,Player,Stat,Line,Pick,Platform,Goblin/Demon,Multiplier,Confidence,Tier,Recommendation,Rank Score,Result,Actual value,FULL_ALL Pick,FULL_ALL Confidence,FULL_ALL Rank score,FULL_ALL Result,FULL_TIGHT Pick,FULL_TIGHT Confidence,FULL_TIGHT Rank score,FULL_TIGHT Result,REDUCED_ALL Pick,REDUCED_ALL Confidence,REDUCED_ALL Rank score,REDUCED_ALL Result,REDUCED_TIGHT Pick,REDUCED_TIGHT Confidence,REDUCED_TIGHT Rank score,REDUCED_TIGHT Result,z_line,z_recent,z_matchup,line_diff,momentum,last10,last5,probability_std,Agreement ratio,FanDuel line,FanDuel line_delta,FanDuel over_hit_prob,FanDuel under_hit_prob,FanDuel edge,DraftKings line,DraftKings line_delta,DraftKings over_hit_prob,DraftKings under_hit_prob,DraftKings edge,BetRivers line,BetRivers line_delta,BetRivers over_hit_prob,BetRivers under_hit_prob,BetRivers edge,BetOnline line,BetOnline line_delta,BetOnline over_hit_prob,BetOnline under_hit_prob,BetOnline edge,Bovada line,Bovada line_delta,Bovada over_hit_prob,Bovada under_hit_prob,Bovada edge,BetMGM line,BetMGM line_delta,BetMGM over_hit_prob,BetMGM under_hit_prob,BetMGM edge
1,Kristaps Porziņģis,3PM,2.5,UNDER,Underdog,,0.78x,80.5%,S,STRONG BET,74.49,✅ HIT,0.0,UNDER,80.6%,73.89,✅ HIT,UNDER,80.5%,73.82,✅ HIT,UNDER,80.6%,75.26,✅ HIT,UNDER,80.3%,74.99,✅ HIT,-1.59,-1.84,-1.86,-0.9,0.12,1.8,2.0,0.001,100.0%,1.5,-1.0,52.1%,47.9%,0.212,1.5,-1.0,55.1%,44.9%,0.2314,1.5,-1.0,49.7%,50.3%,0.1962,1.5,-1.0,53.5%,46.5%,0.2214,2.5,0.0,34.6%,65.4%,0.0984,1.5,-1.0,54.3%,45.7%,0.2264
2,Ace Bailey,STL,1.5,UNDER,Underdog,,0.75x,75.3%,A,STRONG BET,67.03,❌ MISS,2.0,UNDER,73.8%,65.2,❌ MISS,UNDER,73.7%,65.09,❌ MISS,UNDER,77.0%,69.04,❌ MISS,UNDER,76.8%,68.82,❌ MISS,-0.55,-0.6,1.5,-0.7,0.06,1.4,1.6,0.0157,100.0%,1.5,0.0,33.7%,66.3%,0.0581,,,,,,,,,,,,,,,,,,,,,,,,,
3,Quentin Grimes,PRA,24.5,OVER,Underdog,,0.88x,70.0%,D,STRONG BET,66.18,❌ MISS,24.0,OVER,68.9%,64.89,❌ MISS,OVER,68.6%,64.54,❌ MISS,OVER,71.2%,67.53,❌ MISS,OVER,71.4%,67.78,❌ MISS,0.38,-0.91,2.05,-8.3,11.78,1.4,1.6,0.013,100.0%,24.5,0.0,51.1%,48.9%,0.1233,24.5,0.0,51.9%,48.1%,0.1181,25.5,1.0,47.6%,52.4%,0.1459,25.5,1.0,45.5%,54.5%,0.1595,26.5,2.0,43.0%,57.0%,0.1758,25.5,1.0,45.7%,54.3%,0.158
4,Ace Bailey,3PM,3.5,UNDER,Underdog,,0.84x,77.0%,S,STRONG BET,66.15,✅ HIT,1.0,UNDER,74.8%,63.51,✅ HIT,UNDER,74.8%,63.49,✅ HIT,UNDER,79.3%,68.92,✅ HIT,UNDER,79.1%,68.67,✅ HIT,-0.82,0.79,1.5,1.5,-3.06,0.8,0.4,0.0221,100.0%,3.5,0.0,45.7%,54.3%,0.1477,3.5,0.0,46.4%,53.6%,0.1521,3.5,0.0,44.1%,55.9%,0.1368,3.5,0.0,46.3%,53.7%,0.1513,3.5,0.0,45.9%,54.1%,0.1488,3.5,0.0,48.0%,52.0%,0.1623
5,Quentin Grimes,PTS,16.5,OVER,Underdog,,,70.1%,D,STRONG BET,65.51,❌ MISS,13.0,OVER,72.0%,67.72,❌ MISS,OVER,70.9%,66.48,❌ MISS,OVER,69.3%,64.62,❌ MISS,OVER,68.2%,63.24,❌ MISS,0.4,-1.23,2.97,-8.1,10.71,1.4,1.6,0.0146,100.0%,16.5,0.0,51.9%,48.1%,0.1184,16.5,0.0,51.6%,48.4%,0.1203,16.5,0.0,54.5%,45.5%,0.1012,16.5,0.0,51.6%,48.4%,0.1202,20.5,4.0,36.3%,63.7%,0.2197,16.5,0.0,52.0%,48.0%,0.1176
6,Quentin Grimes,PA,20.5,OVER,Underdog,,,69.7%,D,STRONG BET,65.18,❌ MISS,18.0,OVER,70.3%,65.77,❌ MISS,OVER,70.7%,66.25,❌ MISS,OVER,68.7%,64.05,❌ MISS,OVER,69.2%,64.63,❌ MISS,0.41,-0.99,2.81,-7.7,10.88,1.2,1.6,0.0083,100.0%,20.5,0.0,51.1%,48.9%,0.1214,20.5,0.0,51.6%,48.4%,0.1179,,,,,,,,,,,21.5,1.0,46.7%,53.3%,0.1499,21.5,1.0,48.7%,51.3%,0.137
7,Victor Wembanyama,STL,1.5,UNDER,Underdog,,0.75x,74.1%,A,STRONG BET,64.74,❌ MISS,3.0,UNDER,74.1%,64.76,❌ MISS,UNDER,74.0%,64.64,❌ MISS,UNDER,74.2%,64.86,❌ MISS,UNDER,74.1%,64.69,❌ MISS,-0.44,-0.46,-0.0,-0.5,0.02,1.4,1.6,0.0007,100.0%,1.5,0.0,31.8%,68.2%,0.0384,1.5,0.0,34.6%,65.4%,0.0568,,,,,,,,,,,,,,,,,,,,
8,Paul George,AST,5.0,UNDER,PrizePicks,,,83.4%,C,STRONG BET,63.69,✅ HIT,4.0,UNDER,84.4%,64.86,✅ HIT,UNDER,82.5%,62.61,✅ HIT,UNDER,84.3%,64.71,✅ HIT,UNDER,82.5%,62.57,✅ HIT,-1.11,-0.69,-1.67,-0.8,-0.5,1.8,2.0,0.0092,100.0%,4.5,-0.5,55.1%,44.9%,0.2504,4.5,-0.5,55.7%,44.3%,0.2546,4.5,-0.5,55.3%,44.7%,0.2516,4.5,-0.5,55.2%,44.8%,0.2512,5.5,0.5,39.4%,60.6%,0.1483,5.5,0.5,42.0%,58.0%,0.1651
9,Austin Reaves,STL,1.5,UNDER,Underdog,,0.71x,73.2%,A,STRONG BET,63.44,❌ MISS,2.0,UNDER,75.3%,65.87,❌ MISS,UNDER,75.1%,65.73,❌ MISS,UNDER,71.3%,61.12,❌ MISS,UNDER,71.2%,61.02,❌ MISS,-0.26,-0.19,-0.1,-0.3,-0.11,1.4,1.2,0.0198,100.0%,1.5,0.0,33.7%,66.3%,0.0447,1.5,0.0,34.0%,66.0%,0.0468,,,,,,,,,,,,,,,,,,,,
10,Victor Wembanyama,RA,16.5,UNDER,Underdog,,0.86x,76.0%,C,STRONG BET,63.32,❌ MISS,18.0,UNDER,78.1%,65.75,❌ MISS,UNDER,75.4%,62.61,❌ MISS,UNDER,76.7%,64.08,❌ MISS,UNDER,73.9%,60.85,❌ MISS,-0.89,-0.79,-1.2,-2.1,-0.26,1.4,1.6,0.0154,100.0%,15.5,-1.0,49.4%,50.6%,0.165,15.5,-1.0,48.8%,51.2%,0.1616,,,,,,,,,,,16.5,0.0,44.6%,55.4%,0.134,15.5,-1.0,50.0%,50.0%,0.1694
